age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
TOTAL,FOR,NR,T,LV	3524 	3666 	2861 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1405 	1875 
TOTAL,FOR,NR,T,ME	: 	5116 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,MK	: 	1172 	1115 	: 	: 	832 	954 	1590 	2147 	1175 	: 	1536 	: 	: 	: 	: 
TOTAL,FOR,NR,T,MT	6604 	5355 	3820 	3387 	4896 	4711 b	5559 	658 	: 	: 	: 	: 	472 	: 	: 	: 
TOTAL,FOR,NR,T,NL	93055 	82966 	84541 	78905 	75180 b	94335 	80258 	67657 	63415 	65121 	73566 	86619 	94507 	91383 	78365 	81701 
TOTAL,FOR,NR,T,NO	61283 	63182 	62701 	59602 	48636 	51671 b	53498 	37425 	31355 	27864 	26787 	30788 	25411 	27785 	32230 	26747 
TOTAL,FOR,NR,T,PL	88724 	81516 	55012 	47638 	46730 b	11968 b	1611 	1824 	1136 	1242 	500 	259 	355 	410 	473 	1612 
TOTAL,FOR,NR,T,PT	5398 	5272 	7795 	8353 	14424 	20132 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,RO	14712 	11601 	9276 	13041 	10871 	12136 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,RU	: 	: 	: 	: 	: 	: 	68583 	16243 	14584 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,SE	94922 	82267 	75546 	78681 	83472 	82972 	83536 	80398 	51297 	47580 	47988 	47603 	44117 	42629 	34573 	35701 
TOTAL,FOR,NR,T,SI	11621 	12281 	10765 	12657 	27371 	27964 b	27504 	18251 	13294 	8597 	8011 	7702 	6773 	5250 	3579 	3746 
TOTAL,FOR,NR,T,SK	2475 	2940 b	3751 b	12659 	14436 	16470 	14848 	11309 	7665 	7919 	4562 b	458 	531 	: 	: 	: 
TOTAL,FOR,NR,T,TR	: 	: 	27240 	29905 	22470 	20821 	19300 	: 	178964 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,UK	449910 	417844 	487614 	497629 	470544 	505161 b	455290 	451702 	405111 	432637 	325470 	291471 	266230 	260465 	238503 	: 
TOTAL,FOR,NR,T,US	: 	: 	: 	: 	: 	: 	: 	: 	: 	1020451 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,F,AT	3625 	3272 	3104 	3536 	3573 	3298 	3257 	5187 	5350 	6366 	6581 	8138 b	6061 	5124 	5533 	5145 
TOTAL,NAT,NR,F,BE	6407 	6521 	6998 	7024 b	: 	: 	12965 	12553 	12470 	11945 	11957 	11065 	10236 	9648 	8907 	8774 
TOTAL,NAT,NR,F,BG	2480 p	2570 	: 	: 	: 	525 	659 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,F,CH	12375 	11315 	11272 b	10466 	10444 	10664 	10174 	9608 	8943 	9065 	: 	10570 	11561 	12522 	: 	11350 
TOTAL,NAT,NR,F,CY	558 	866 	987 	929 	: 	457 	385 	495 	1194 	863 	796 	925 	1275 	421 	: 	: 
TOTAL,NAT,NR,F,CZ	3028 	4026 	4169 	9433 	11145 	12315 b	808 	836 	727 	1271 	1287 	506 	762 	1655 	1449 	: 
TOTAL,NAT,NR,F,DE	37998 	39463 	40188 	38061 	34901 b	48081 	45959 	43529 	56174 	74481 	75331 	84399 	89263 	87323 	90963 	90311 
TOTAL,NAT,NR,F,DK	9129 	9004 	8759 	8873 	9144 	9566 b	10729 	10937 	10925 	10573 	10873 	10853 	11180 	11142 	11284 	11419 
TOTAL,NAT,NR,F,EE	1177 	705 	853 	684 	656 	719 b	825 	393 	237 	188 	: 	: 	: 	: 	: 	328 
TOTAL,NAT,NR,F,EL	12136 	11938 	12325 	11468 	11473 	12086 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
